protocol,chain,date,tvl_usd
aave,__all__,2025-02-01,22108741531
aave,__all__,2025-02-02,21252624754
aave,__all__,2025-02-03,19685342172
aave,__all__,2025-02-04,20409749449
aave,__all__,2025-02-05,19771961575
aave,__all__,2025-02-06,19721375718
aave,__all__,2025-02-07,19609131074
aave,__all__,2025-02-08,19373464708
aave,__all__,2025-02-09,19524298255
aave,__all__,2025-02-10,19403178927
aave,__all__,2025-02-11,19773070278
aave,__all__,2025-02-12,19304263969
aave,__all__,2025-02-13,19874643485
aave,__all__,2025-02-14,19756259648
aave,__all__,2025-02-15,20011258417
aave,__all__,2025-02-16,19875781935
aave,__all__,2025-02-17,19603080912
aave,__all__,2025-02-18,20009016965
aave,__all__,2025-02-19,19635282776
aave,__all__,2025-02-20,19949291692
aave,__all__,2025-02-21,20209497391
aave,__all__,2025-02-22,19701522863
aave,__all__,2025-02-23,19724641670
aave,__all__,2025-02-24,20549153214
aave,__all__,2025-02-25,19295633018
aave,__all__,2025-02-26,19176001547
aave,__all__,2025-02-27,18096041252
aave,__all__,2025-02-28,18154244711
aave,__all__,2025-03-01,18112530526
aave,__all__,2025-03-02,18211125800
aave,__all__,2025-03-03,20000944989
aave,__all__,2025-03-04,18079760950
aave,__all__,2025-03-05,18213529061
aave,__all__,2025-03-06,18797388031
aave,__all__,2025-03-07,18150534273
aave,__all__,2025-03-08,18140654625
aave,__all__,2025-03-09,18273451828
aave,__all__,2025-03-10,17228419986
aave,__all__,2025-03-11,16577754767
aave,__all__,2025-03-12,17045972677
aave,__all__,2025-03-13,17173034713
aave,__all__,2025-03-14,16969163709
aave,__all__,2025-03-15,17550596797
aave,__all__,2025-03-16,17726351501
aave,__all__,2025-03-17,17545451882
aave,__all__,2025-03-18,17694665467
aave,__all__,2025-03-19,17714439011
aave,__all__,2025-03-20,17761017284
aave,__all__,2025-03-21,17378691795
aave,__all__,2025-03-22,17572426004
aave,__all__,2025-03-23,17863091316
aave,__all__,2025-03-24,18396332041
aave,__all__,2025-03-25,19038316010
aave,__all__,2025-03-26,19285847638
aave,__all__,2025-03-27,18848256157
aave,__all__,2025-03-28,19026534203
aave,__all__,2025-03-29,18239007924
aave,__all__,2025-03-30,17736343569
aave,__all__,2025-03-31,16765305462
aave,__all__,2025-04-01,17184789140
aave,__all__,2025-04-02,17809023476
aave,__all__,2025-04-03,17166657191
aave,__all__,2025-04-04,17452014594
aave,__all__,2025-04-05,17571664216
aave,__all__,2025-04-06,17661845734
aave,__all__,2025-04-07,16388323566
aave,__all__,2025-04-08,16671928550
aave,__all__,2025-04-09,16356417268
aave,__all__,2025-04-10,17759283232
aave,__all__,2025-04-11,16968402982
aave,__all__,2025-04-12,17381040283
aave,__all__,2025-04-13,17565723992
aave,__all__,2025-04-14,17637376756
aave,__all__,2025-04-15,17902368179
aave,__all__,2025-04-16,17823115944
aave,__all__,2025-04-17,17945015741
aave,__all__,2025-04-18,17934112882
aave,__all__,2025-04-19,17881431284
aave,__all__,2025-04-20,18103028844
aave,__all__,2025-04-21,17904909465
aave,__all__,2025-04-22,17260832130
aave,__all__,2025-04-23,18860523070
aave,__all__,2025-04-24,19415743166
aave,__all__,2025-04-25,19556473353
aave,__all__,2025-04-26,19949623985
aave,__all__,2025-04-27,19749515078
aave,__all__,2025-04-28,19849753481
aave,__all__,2025-04-29,19863643518
aave,__all__,2025-04-30,19718184192
aave,__all__,2025-05-01,19707810904
aave,__all__,2025-05-02,20308654576
aave,__all__,2025-05-03,20664079939
aave,__all__,2025-05-04,20553155642
aave,__all__,2025-05-05,20331937933
aave,__all__,2025-05-06,20186728485
aave,__all__,2025-05-07,20412619365
aave,__all__,2025-05-08,19469722299
aave,__all__,2025-05-09,22194389503
aave,__all__,2025-05-10,23414836201
aave,__all__,2025-05-11,24869976555
aave,__all__,2025-05-12,24440142103
aave,__all__,2025-05-13,24007712960
aave,__all__,2025-05-14,25221579328
aave,__all__,2025-05-15,23927492096
aave,__all__,2025-05-16,23357854774
aave,__all__,2025-05-17,23633028441
aave,__all__,2025-05-18,23412732902
aave,__all__,2025-05-19,23964618355
aave,__all__,2025-05-20,24177271191
aave,__all__,2025-05-21,24371482535
aave,__all__,2025-05-22,24690813402
aave,__all__,2025-05-23,25563167074
aave,__all__,2025-05-24,24664415186
aave,__all__,2025-05-25,24699278547
aave,__all__,2025-05-26,24809307201
aave,__all__,2025-05-27,25010911052
aave,__all__,2025-05-28,25425673202
aave,__all__,2025-05-29,25342785187
aave,__all__,2025-05-30,24891124980
aave,__all__,2025-05-31,24297057077
